id,ward,street,avenue,type,waldronCat,ordinanceNum,date,year,googleMapsVerify,gMapsDate,googleMapsType,noIntersect,streetOpen,coords.x1,coords.x2,check,status,changes
46,4,North Market St.,Cora,pots (3),1,68341,2/19/85,1985,3,9/1/14,pots (3)/ poles (8),0,0,891700.4161,1030216.941,pass,street closed,
47,4,North Market St.,Marcus,pots (4),1,59380,2/19/85,1985,1,9/1/14,SAME,0,0,891261.2736,1030458.792,pass,street closed,
48,4,St. Ferdinand,Annie Malone,pots (4),1,59380,5/18/09,2009,2,10/1/11,,0,1,895099.4595,1028714.394,pass,street open,
49,4,St. Ferdinand,Billups,pots (5),1,68341,5/18/09,2009,4,9/1/14,gate,0,0,894296.7842,1029150.992,pass,street open,
50,4,Sullivan Ave.,Vandeventer Ave.,,4,68361,4/28/98,1998,3,9/1/12,gate,0,0,898833.9973,1029543.331,pass,street closed,
51,5,Benton St.,19th St.,pots (7),1,63814,7/15/96,1996,3,3/1/15,pots (6),0,0,905350.937,1024944.317,pass,street closed,
52,5,Chambers St,16th,,4,67367,1/10/07,2007,3,3/1/15,pots (3),0,0,906574.8942,1023627.817,pass,street closed,
53,5,Dodiers St.,N. Florissant,cul,3,58939,10/5/83,1983,1,3/1/15,SAME,0,0,905624.4906,1026639.605,pass,street closed,
54,5,Eighteenth St.,Cass Ave.,cul,3,63996,2/28/97,1997,1,3/1/15,SAME,1,1,905783.8347,1023147.221,pass,street closed,
55,5,Eleventh St.,O'Fallon,cul,3,59035,2/10/84,1984,1,9/1/14,SAME,0,0,908001.703,1021306.789,pass,street closed,
56,5,E. Fourteenth St.,O'Fallon,pots (3),1,66621,2/22/05,2005,3,7/1/16,Wall,1,0,906784.2324,1021694.179,pass,street closed,
57,5,E. Fourteenth St.,Biddle,pots (3),1,66621,2/22/05,2005,2,9/1/14,Do Not Enter Sign,0,1,906755.1133,1021221.022,pass,street open,
58,5,E. Fourteenth St.,Cass,,4,66914,11/23/05,2005,3,8/1/15,jersey (3)/ fence (1),1,0,906978.685,1022606.661,pass,street closed,
59,5,11th,O'Fallon,cul,3,59035,2/10/84,1984,1,9/1/14,SAME,0,0,907740.6944,1021374.018,pass,street closed,
