"","id","status"
"292",292,"street closed"
"293",293,"street closed"
"294",294,"street closed"
"295",295,"street closed"
"296",296,"street closed"
"297",297,"street closed"
"298",298,"street closed"
"299",299,"street closed"
"300",300,"street closed"
"301",301,"street closed"
"302",302,"street closed"
"303",303,"street closed"
"304",304,"street closed"
"305",305,"street closed"
"306",306,"street closed"
"307",307,"street closed"
"308",308,"street closed"
"309",309,"street closed"
