id,street,avenue,date,year,googleMapsVerify,status,changes,additionalDate
111,Accomac St.,Jefferson,12/19/84,1979,1,street closed,,
112,Accomac St.,Oregon,3/27/79,1986,1,street closed,,
113,Allen Ave.,Jefferson,3/4/86,1986,3,street closed,,
114,Ann Ave.,Jefferson,3/4/86,1986,1,street closed,,
115,Armand Pl.,Jefferson,3/4/86,1986,1,street closed,,
116,Barton,3rd,9/13/82,1982,2,street open,street name fixed,
117,California Ave.,Victor,10/15/79,1979,1,street closed,,
118,Carrol St.,Truman,2/2/93,1993,3,street closed,,
120,Carrol St.,Tucker,7/18/89,1989,3,street closed,street name fixed,
122,Gratiot St.,7th,3/8/84,1984,2,street open,,
123,Menard St.,Park,3/4/87,1987,1,street closed,street name fixed,
125,Rutger St.,Tucker,11/10/79,1979,1,street closed,,
126,Sixth St.,Market,3/4/87,1987,9,does not apply,public park,
128,Blaine Ave.,Grand,11/10/79,1979,3,street closed,,
129,Botanical Ave.,Grand,2/4/87,1987,3,street closed,,
130,Botanical Ave.,Tower Grove,3/4/86,1986,1,street closed,,
131,Castleman Ave.,Lawerence,9/13/82,1982,3,street closed,,
132,Castleman Ave.,Tower Grove,11/4/85,1985,1,street closed,,
133,Cleveland Ave.,Grand Blvd.,11/4/85,1985,3,street closed,,
134,Cleveland Ave.,Tower Grove,8/10/79,1979,1,street closed,,
136,Flad Ave.,Grand Blvd.,11/4/85,1985,1,street closed,,
137,Flad Ave.,Grand Blvd.,11/4/85,1985,3,street closed,,
138,Flad Ave.,Tower Grove,11/4/85,1985,1,street closed,,
139,Flora Pl.,Grand Blvd.,11/4/85,1985,1,street closed,,
140,Flora Pl.,Tower Grove,10/15/79,1979,1,street closed,,
141,Folsom Ave.,39th,7/7/83,1983,1,street closed,,
142,McRee Ave.,39th,3/30/94,1994,1,street closed,,
143,McRee Ave.,Thurman,3/30/94,1994,3,street closed,,
144,McRee Ave.,Grand Blvd.,9/13/82,1982,3,street closed,,
145,Russell Blvd,Tower Grove,11/4/85,1985,1,street closed,,
146,Shenandoah Ave.,Grand Blvd.,11/4/85,1985,3,street closed,,
147,Shenandoah Ave.,Tower Grove Ave.,11/4/85,1985,1,street closed,,
148,Thurman Ave.,I-44,11/4/85,1985,3,street closed,,
150,Crittenden St.,Grand Blvd.,10/21/77,1977,1,street closed,,
152,Humphrey St.,Gravois Ave.,7/15/96,1996,1,street closed,,
153,Illinois Ave.,Arsenal St.,6/21/78,1978,3,street closed,,
156,Ohio Ave.,Gasconade,11/20/89,1989,1,street closed,,
162,Judith Ct.,Gasconade,7/29/03,2003,3,street closed,street name fixed,
163,Missouri Av.,Broadway,11/28/01,2001,1,street closed,,
164,Winnebago St.,Marine Av.,6/8/99,1999,2,street open,,
165,Hi View Ave,Jamieson,11/23/05,2005,4,street open,,
166,McCausland Ave.,Chippewa,11/23/05,2005,1,street closed,,
167,Plainview Ave.,Chippewa,3/30/92,1992,3,street closed,,
170,Arco Ave.,N. Newstead Ave.,10/16/91,1991,3,street closed,,
171,Arco Ave.,N. Newstead Ave.,10/16/91,1991,3,street closed,,
173,Cadet Ave.,Kingshighway Blvd.,3/21/02,2002,3,street closed,,
174,Gibson Ave.,S. Boyle Ave.,10/16/91,1991,4,street open,,
176,Gibson Ave.,Newstead Ave.,10/16/91,1991,3,street closed,,
177,Gibson Ave.,Newstead Ave.,10/16/91,1991,3,street closed,,
180,Lawn Pl.,Berthold Ave.,1/30/86,1986,4,street open,,
181,Lawn Pl.,Oakland Ave.,1/30/86,1986,2,street open,,
184,Norfolk Ave.,S. Taylor Ave.,2/10/84,1984,1,street closed,,
185,Oakland Ave.,S. Kingshighway Blvd.,2/21/08,2008,3,street closed,,
186,Oakland Ave.,S. Newstead Ave.,10/16/91,1991,1,street closed,,
