"","id","ward","street","avenue","type","waldronCat","ordinanceNum","date","year","OBJECTID","Observatio","BarrierID","check"
"56",200,18,"Enright Ave.","Taylor","pots (10)",1,65995,"7/29/03",2003,NA,NA,NA,"fail"
"57",212,18,"Whittier St.","Maryland","pots (4)",1,64359,"4/28/98",1998,NA,NA,NA,"fail"
"58",216,20,"California Ave.","Chippewa Ave","",4,57498,"2/9/78",1978,NA,NA,NA,"fail"
"59",217,20,"S. Compton Ave.","Oasge","pots (4)",1,57498,"2/9/78",1978,NA,NA,NA,"fail"
"60",218,20,"S. Compton Ave.","Gascorade","pots (4)",1,63962,"2/9/78",1978,NA,NA,NA,"fail"
"61",219,20,"Highland Ave.","Kingshighway","pots (5)",1,64695,"7/19/99",1999,NA,NA,NA,"fail"
"62",220,20,"Labadie Ave","Kingshighway","cul",3,57901,"9/18/78",1978,NA,NA,NA,"fail"
"63",221,20,"Lotus Ave.","Kingshighway","pots (4)",1,64629,"2/23/99",1999,NA,NA,NA,"fail"
"64",222,20,"Maffitt Pl","Kingshighway","pots (6)",1,62453,"10/9/91",1991,NA,NA,NA,"fail"
"65",225,20,"San Francisco Ave.","Kingshighway","pots",1,64557,"9/18/78",1978,NA,NA,NA,"fail"
"66",226,20,"Wabada Ave.","Kingshighway","pots (6)",1,62502,"2/1/99",1999,NA,NA,NA,"fail"
"67",227,20,"Winnebago St.","Jefferson Ave","",4,64987,"7/12/00",2000,NA,NA,NA,"fail"
"68",236,25,"Theodosis Ave.","Union","cul",3,57901,"9/18/78",1978,NA,NA,NA,"fail"
"69",240,26,"Cabanne Ave.","Ruth Porter Mall","",4,63405,"2/5/96",1996,NA,NA,NA,"fail"
"70",244,26,"Clara Ave.","Cabanne Ave.","",4,63989,"2/12/97",1997,NA,NA,NA,"fail"
"71",247,26,"Clemens Ave.","Clara","pots (8)",1,62942,"7/27/93",1993,NA,NA,NA,"fail"
"72",250,26,"Etzel Ave.","Goodfellow","cul",3,57911,"10/15/79",1979,NA,NA,NA,"fail"
"73",254,26,"Raymond Ave.","Hodiamont Streetcar Row","pots (4)",1,66699,"5/13/05",2005,NA,NA,NA,"fail"
"74",261,27,"Henner Ave.","Bircher","",4,67004,"11/12/09",2009,NA,NA,NA,"fail"
"75",263,27,"Lucille Ave.","Citylimits","pots (3)",1,64452,"8/1/98",1998,NA,NA,NA,"fail"
"76",279,28,"Pershing Ave","Taylor","pots (5)",1,59057,"3/8/84",1984,NA,NA,NA,"fail"
"77",284,28,"Waterman Blvd.","Belt","posts/chains",2,57452,"12/12/77",1977,NA,NA,NA,"fail"
"78",289,28,"Westminister Pl.","Taylor","cul",3,59127,"4/10/84",1984,NA,NA,NA,"fail"
"79",291,3,"N. Spring Ave","Dodier St","",4,NA,"",NA,NA,NA,NA,"fail"
